,в,5275,,
,не,3060,,
,на,2919,,
,—,2720,,
,с,1900,,
,что,1735,,
,а,1674,,
,как,1219,,
,я,1034,,
,по,1016,,
,это,808,,
,из,751,,
,но,731,,
,к,723,,
,у,672,,
,от,669,,
,же,650,,
,так,634,,
,за,620,,
,все,573,,
,он,573,,
,для,561,,
,то,539,,
,его,487,,
,или,480,,
,до,465,,
,только,389,,
,ты,371,,
,если,364,,
,бы,342,,
,было,338,,
,о,319,,
,их,311,,
,под,311,,
,меня,300,,
,был,291,,
,уже,290,,
,даже,289,,
,вот,280,,
,можно,279,,
,после,274,,
,есть,265,,
,да,261,,
,ни,260,,
,они,257,,
,мы,256,,
,при,256,,
,когда,247,,
,чем,238,,
,там,224,,
,мне,215,,
,время,212,,
,еще,210,,
,во,208,,
,ну,207,,
,вы,205,,
,без,204,,
,всё,197,,
,также,196,,
,всех,191,,
,ещё,189,,
,может,189,,
,она,187,,
,были,186,,
,один,186,,
,того,185,,
,чтобы,183,,
,со,182,,
,нет,180,,
,была,176,,
,очень,175,,
,более,173,,
,тут,170,,
,раз,163,,
,где,161,,
,нас,160,,
,просто,158,,
,себя,155,,
,этого,153,,
x,хуй,151,,
,больше,146,,
,ему,145,,
,кто,145,,
,про,145,,
,будет,143,,
,тебя,143,,
,которые,141,,
,надо,139,,
,этом,139,,
,который,138,,
,том,136,,
,него,135,,
,потом,134,,
,тебе,132,,
,тоже,131,,
,себе,128,,
,ее,127,,
,однако,127,,
,года,124,,
,чего,123,,
,лет,120,,
,них,118,,
,теперь,118,,
,быть,117,,
,всего,116,,
,тем,116,,
,хотя,114,,
,ибо,113,,
,уж,113,,
,им,112,,
,этой,112,,
,ли,110,,
,здесь,109,,
,сам,109,,
,её,108,,
,вообще,107,,
,году,106,,
,через,106,,
,этот,104,,
,например,100,,
,говорит,99,,
,такой,99,,
,два,98,,
,изза,98,,
,своей,96,,
,именно,94,,
,лишь,94,,
,нам,94,,
,над,93,,
,совсем,93,,
,всегда,92,,
,поэтому,92,,
,ниндзя,90,,
,потому,90,,
,тогда,89,,
,чуть,89,,
,мой,86,,
,ничего,86,,
x,блядь,85,,
,вас,85,,
,времени,85,,
,менее,85,,
,человек,84,,
,ведь,83,,
,дело,83,,
,хоть,83,,
,эти,83,,
,стоит,82,,
,тот,82,,
,либо,81,,
,свою,81,,
,стал,81,,
,сразу,79,,
,сейчас,77,,
,всем,76,,
,хорошо,75,,
,вдруг,74,,
,другой,74,,
,лучше,74,,
,много,74,,
,свои,74,,
,кроме,73,,
,слово,73,,
,всю,72,,
,говорю,72,,
,своих,72,,
,жизни,71,,
,несколько,71,,
,ним,71,,
,стали,71,,
,вроде,70,,
x,говно,70,,
,конечно,70,,
,которых,70,,
,почти,70,,
,друг,69,,
,правда,69,,
,пока,68,,
,между,67,,
,такие,67,,
,алсо,66,,
,вам,66,,
,почему,66,,
,весь,65,,
,люди,65,,
,слова,65,,
,случае,65,,
,три,65,,
,вместе,64,,
,об,64,,
,день,63,,
,одна,63,,
,одной,63,,
,этих,63,,
,эту,63,,
,является,63,,
,бубнов,62,,
,могут,62,,
,первый,62,,
,прямо,62,,
,часть,61,,
,впрочем,60,,
,деле,60,,
,которая,60,,
,такое,60,,
,людей,59,,
,моя,59,,
,ней,59,,
,образом,59,,
,т,59,,
,the,58,,
,войны,58,,
,куда,58,,
,собой,58,,
,настолько,57,,
,некоторые,57,,
,никто,57,,
,обычно,57,,
,особенно,57,,
,свой,57,,
,г,56,,
,знает,56,,
,скляров,56,,
,тех,56,,
,иногда,55,,
,мог,55,,
,никогда,55,,
,самое,55,,
,своего,55,,
,вполне,54,,
,игры,54,,
,одного,54,,
,рипс,54,,
,самом,54,,
,тому,54,,
,быстро,53,,
,вместо,53,,
,которого,53,,
,которой,53,,
,таки,53,,
,таким,53,,
,чтото,53,,
,–,52,,
,весьма,52,,
,полностью,52,,
,таких,52,,
,часто,52,,
,глаза,51,,
,место,51,,
,пор,51,,
